subject,backbone,pipeline,fold,accuracy,auc,mean_accuracy,mean_auc,std_accuracy,p_empirical,p_vs_chance_method,pooled_test_correct,pooled_test_total,alpha_ratio,beta_ratio,lateralization_index
1,csp,asr,1,0.5416666666666666,0.5571527777777778,0.5297222222222222,0.5505293209876544,0.01882956370009148,0.00019191827615615124,binomial,1907,3600,1.379497812851347,1.1237192343906879,-0.007172547362166976
1,csp,asr,2,0.5472222222222223,0.5901543209876543,0.5297222222222222,0.5505293209876544,0.01882956370009148,0.00019191827615615124,binomial,1907,3600,1.379497812851347,1.1237192343906879,-0.007172547362166976
1,csp,asr,3,0.4986111111111111,0.5267283950617284,0.5297222222222222,0.5505293209876544,0.01882956370009148,0.00019191827615615124,binomial,1907,3600,1.379497812851347,1.1237192343906879,-0.007172547362166976
1,csp,asr,4,0.5305555555555556,0.5296296296296297,0.5297222222222222,0.5505293209876544,0.01882956370009148,0.00019191827615615124,binomial,1907,3600,1.379497812851347,1.1237192343906879,-0.007172547362166976
1,tangent,asr,0,0.5097222222222222,0.5006018518518519,0.5166666666666666,0.5289930555555554,0.010847568994314816,0.023657585803913354,binomial,1860,3600,1.379497812851347,1.1237192343906879,-0.007172547362166976
1,tangent,asr,1,0.5319444444444444,0.5440817901234567,0.5166666666666666,0.5289930555555554,0.010847568994314816,0.023657585803913354,binomial,1860,3600,1.379497812851347,1.1237192343906879,-0.007172547362166976
1,tangent,asr,2,0.5236111111111111,0.5509567901234568,0.5166666666666666,0.5289930555555554,0.010847568994314816,0.023657585803913354,binomial,1860,3600,1.379497812851347,1.1237192343906879,-0.007172547362166976
1,tangent,asr,3,0.5055555555555555,0.5061805555555555,0.5166666666666666,0.5289930555555554,0.010847568994314816,0.023657585803913354,binomial,1860,3600,1.379497812851347,1.1237192343906879,-0.007172547362166976
1,tangent,asr,4,0.5125,0.5431442901234568,0.5166666666666666,0.5289930555555554,0.010847568994314816,0.023657585803913354,binomial,1860,3600,1.379497812851347,1.1237192343906879,-0.007172547362166976
1,csp,icalabel,0,0.5527777777777778,0.5637808641975308,0.525,0.5496952160493829,0.024076299754666276,0.0014230946789108732,binomial,1890,3600,0.1966125267028521,1.2164745755636117,-0.005540221846954915
1,csp,icalabel,1,0.5333333333333333,0.5604938271604939,0.525,0.5496952160493829,0.024076299754666276,0.0014230946789108732,binomial,1890,3600,0.1966125267028521,1.2164745755636117,-0.005540221846954915
1,csp,icalabel,2,0.5388888888888889,0.5601736111111112,0.525,0.5496952160493829,0.024076299754666276,0.0014230946789108732,binomial,1890,3600,0.1966125267028521,1.2164745755636117,-0.005540221846954915
1,csp,icalabel,3,0.5041666666666667,0.5476080246913582,0.525,0.5496952160493829,0.024076299754666276,0.0014230946789108732,binomial,1890,3600,0.1966125267028521,1.2164745755636117,-0.005540221846954915
1,csp,icalabel,4,0.49583333333333335,0.5164197530864197,0.525,0.5496952160493829,0.024076299754666276,0.0014230946789108732,binomial,1890,3600,0.1966125267028521,1.2164745755636117,-0.005540221846954915
1,tangent,icalabel,0,0.49027777777777776,0.4933564814814815,0.5133333333333333,0.5138317901234568,0.020450180354784405,0.056666463602152266,binomial,1848,3600,0.1966125267028521,1.2164745755636117,-0.005540221846954915
1,tangent,icalabel,1,0.5361111111111111,0.5496604938271605,0.5133333333333333,0.5138317901234568,0.020450180354784405,0.056666463602152266,binomial,1848,3600,0.1966125267028521,1.2164745755636117,-0.005540221846954915
1,tangent,icalabel,2,0.5236111111111111,0.5154861111111111,0.5133333333333333,0.5138317901234568,0.020450180354784405,0.056666463602152266,binomial,1848,3600,0.1966125267028521,1.2164745755636117,-0.005540221846954915
1,tangent,icalabel,3,0.5236111111111111,0.5148611111111111,0.5133333333333333,0.5138317901234568,0.020450180354784405,0.056666463602152266,binomial,1848,3600,0.1966125267028521,1.2164745755636117,-0.005540221846954915
1,tangent,icalabel,4,0.4930555555555556,0.49579475308641974,0.5133333333333333,0.5138317901234568,0.020450180354784405,0.056666463602152266,binomial,1848,3600,0.1966125267028521,1.2164745755636117,-0.005540221846954915
1,csp,gedai,0,0.5722222222222222,0.6023302469135803,0.5544444444444444,0.5715401234567901,0.02465815669019124,3.4469230249069523e-11,binomial,1996,3600,0.040630476739958614,0.31624911250640286,-0.006485610551284885
1,csp,gedai,1,0.5611111111111111,0.575054012345679,0.5544444444444444,0.5715401234567901,0.02465815669019124,3.4469230249069523e-11,binomial,1996,3600,0.040630476739958614,0.31624911250640286,-0.006485610551284885
1,csp,gedai,2,0.5777777777777777,0.5969907407407408,0.5544444444444444,0.5715401234567901,0.02465815669019124,3.4469230249069523e-11,binomial,1996,3600,0.040630476739958614,0.31624911250640286,-0.006485610551284885
1,csp,gedai,3,0.5444444444444444,0.5620447530864198,0.5544444444444444,0.5715401234567901,0.02465815669019124,3.4469230249069523e-11,binomial,1996,3600,0.040630476739958614,0.31624911250640286,-0.006485610551284885
1,csp,gedai,4,0.5166666666666667,0.5212808641975308,0.5544444444444444,0.5715401234567901,0.02465815669019124,3.4469230249069523e-11,binomial,1996,3600,0.040630476739958614,0.31624911250640286,-0.006485610551284885
1,tangent,gedai,0,0.5972222222222222,0.645,0.6047222222222223,0.6506743827160495,0.01841522115996356,1.1078755289834238e-36,binomial,2177,3600,0.040630476739958614,0.31624911250640286,-0.006485610551284885
1,tangent,gedai,1,0.6333333333333333,0.660030864197531,0.6047222222222223,0.6506743827160495,0.01841522115996356,1.1078755289834238e-36,binomial,2177,3600,0.040630476739958614,0.31624911250640286,-0.006485610551284885
1,tangent,gedai,2,0.6013888888888889,0.654537037037037,0.6047222222222223,0.6506743827160495,0.01841522115996356,1.1078755289834238e-36,binomial,2177,3600,0.040630476739958614,0.31624911250640286,-0.006485610551284885
